,Name,Creator,Repeats,Grade,Type,Stars1,Stars2
20493,UGAO CLIMBING,karniko,1 climber has repeated this problem,TAt+,Feet follow hands,,
20494,RIGHT HAND WARM UP,Rajko Zajc,25 repeats,6B+ (User grade 6B+),Feet follow hands,eee,
20495,REALLY ALEX?,Lazz,Be the first to repeat this problem,6C+,Feet follow hands,,
20496,DUPLICATE EASY TEST,Luis Rodriguez,7 repeats,6C,Feet follow hands,eee,
20497,DUPLICATE TEST EASY,Luis Rodriguez,12 repeats,6B+ (User grade 6B+),Feet follow hands,eee,
20498,SILLY SALMON,liz maffett,10 repeats,6B+ (User grade 6B+),Feet follow hands,,
20499,Al+,Hannah,18 repeats,6B+ (User grade 6B+),Feet follow hands,,
20500,GOOSETOWN4,max,9 repeats,6B+ (User grade 6B+),Feet follow hands,eee,
20501,THE RITUAL,Tuna,16 repeats,7B (User grade 7B),Feet follow hands,eee,
20502,GOOSETOWNS,max,12 repeats,6C+ (User grade 6C+),Feet follow hands,eee,
20503,LOBSTER PINCH,max,1 climber has repeated this problem,7B,Feet follow hands,eee,
20504,NOT THE WORST,TTWeeks,9 repeats,6B+ (User grade 6B+),Feet follow hands,eee,
20505,GTS1,nayton rosales,27 repeats,6B+ (User grade 6B+),Feet follow hands,,
20506,SENDERS BURNING,Matthew Doyle,41 repeats,6B+ (User grade 6B+),Feet follow hands,eee,
20507,AA88&,Filo,1 climber has repeated this problem,7c,Feet follow hands,,
20508,MEG1,megoic,7 repeats,6B+ (User grade 6B+),Feet follow hands,,
20509,MEG1,megoic,15 repeats,6B+ (User grade 6B+),Feet follow hands,,
20510,HOLYJONES,Benne89,28 repeats,7A (User grade 7A),Feet follow hands,,
20511,MARKS PROBLEMS (6A+),Puigma,233 repeats,6B+ (User grade 6B+),Feet follow hands,eee,
20512,ABFAHRTS,Lukas,7 repeats,6B+ (User grade 6B+),Feet follow hands,,
20513,TONY SOSA,Max,33 repeats,6B+ (User grade 6B+),Feet follow hands,,
20514,BULDAPLOBLAM,oscarblanes98,37 repeats,7A+ (User grade 7A+),Feet follow hands,,
20515,MR. BURNS,Francesco Donatelli,7 repeats,7A,Feet follow hands,eee,
20516,MARCO POLO,Francesco Donatelli,22 repeats,6C (User grade 6C),Feet follow hands,,
20517,SPIRIDON LOUIS,Francesco Donatelli,3 repeats,7A,Feet follow hands,eee,
20518,JOHN'S PROBLEM,Karo,17 repeats,6B+ (User grade 6B+),Feet follow hands,eee,
20519,TXARTEL HORIA,Jontxu,3 repeats,6C,Feet follow hands,eee,
20520,TIM'S NEMISIS PART 2,Adam Scott,2 repeats,6C,Feet follow hands,eee,
20521,FREE THE NIPLES,Alex ey,16 repeats,6B+ (User grade 6B+),Feet follow hands,eee,
20522,JASCO,Alex ey,6 repeats,TAt+,Feet follow hands,eee,
20523,BLAH BLAH,Pugklime,7 repeats,6C (User grade 6C),Feet follow hands,,
20524,WITCHES N WOLVERINES,Brendan Leader,1 climber has repeated this problem,7A,Feet follow hands,eee,
20525,GONE WITH THE SKIN,brady,Be the first to repeat this problem,6C+,Feet follow hands,,
20526,SANDBAG AND A CREEK,Jordan Okie,4repeats,6C (User grade 6C),Feet follow hands,eee,
20527,GRICIA MIRROR,xuen,1 climber has repeated this problem,6B+,Feet follow hands,eee,
20528,EPICONDYLITIS,janezkranjski,17 repeats,6B+ (User grade 6B+),Feet follow hands,,
20529,BEBAVCEK,janezkranjski,Be the first to repeat this problem,6B+,Feet follow hands,,
20530,THE FRIENDLY BAT,je123,13 repeats,6B+ (User grade 6B+),Feet follow hands,eee,
20531,CCR1,chesterezh,4repeats,6B+ (User grade 6B+),Feet follow hands,,
20532,WARMUP V3 KK,Alwaysmay,27 repeats,6B+ (User grade 6B+),Feet follow hands,,
20533,PROLETAREC JANEZ,janezkranjski,8 repeats,6B+,Feet follow hands,eee,
20534,CONTINUUM TRANSFUNCTIONER,Brian Antheunisse,3 repeats,TAt+,Feet follow hands,eee,
20535,"DUDE, SWEET!",Brian Antheunisse,1 climber has repeated this problem,7B+,Feet follow hands,,
20536,THE BAT.,je123,35 repeats,6B+ (User grade 6B+),Feet follow hands,,
20537,IT CAN BE THAT,Cinghiale,Be the first to repeat this problem,7A,Feet follow hands,,
20538,ROSES,Fergus's,3 repeats,6C,Feet follow hands,eee,
20539,ICE COLD GOLD,The Wad,19 repeats,6C+ (User grade 6C+),Feet follow hands,,
20540,GIRDER,Fergus's,2 repeats,6C,Feet follow hands,eee,
20541,STAKE,Fergus's,Srepeats,6B+,Feet follow hands,eee,
20542,FOTUT,Tonet,Srepeats,6C (User grade 6C),Feet follow hands,,
20543,BIC!,manacesc,7 repeats,6C,Feet follow hands,,
20544,ADVANTAGEOUS,Kilgour22,Be the first to repeat this problem,7A (User grade 7A),Feet follow hands,,
20545,DROP DEAD HOT,smithy1992,8 repeats,7A,Feet follow hands,eee,
20546,SHOES ON,TimothyB,9 repeats,6C (User grade 6C),Feet follow hands,,
20547,IT CAN BE THAT 2,Cinghiale,Be the first to repeat this problem,7A,Feet follow hands,,
20548,2-21-19,Sardine,31 repeats,6B+ (User grade 6B+),Feet follow hands,,
20549,SEICIPIU,Matteo Zanon,1 climber has repeated this problem,6C+,Feet follow hands,,
20550,FIELDS OF ARLE,gabriel faucher,2 repeats,6C+,Feet follow hands,eee,
20551,CLASH OF CULTURES,gabriel faucher,Be the first to repeat this problem,6C+,Feet follow hands,,
20552,GOOB STOPPER,Elite,Srepeats,6B+ (User grade 6B+),Feet follow hands,eee,
20553,MUDFLY,John x,Be the first to repeat this problem,6C,Feet follow hands,,
20554,WHITEWATER EASY,John x,6 repeats,6B+ (User grade 6B+),Feet follow hands,eee,
20555,WHITEWATER HARD,John x,2 repeats,6C+,Feet follow hands,eee,
20556,IF ONLY,John x,Be the first to repeat this problem,6C+,Feet follow hands,,
20557,BORN TO HULA,John x,Be the first to repeat this problem,7A,Feet follow hands,,
20558,ANTIPATHY,Kilgour22,Be the first to repeat this problem,7c,Feet follow hands,,
20559,ADAVRE,John x,1 climber has repeated this problem,6C+,Feet follow hands,,
20560,WATERFALL,John x,1 climber has repeated this problem,7A,Feet follow hands,,
20561,BOOTY BOULDER PROBLEM,Joey Cohn,Be the first to repeat this problem,6C+,Feet follow hands,,
20562,BRYCE MAN THE RICE MAN,808bma,3 repeats,7C (User grade 7C),Feet follow hands,eee,
20563,CCR2,chesterezh,11 repeats,6B+ (User grade 6B+),Feet follow hands,,
20564,WINAI,Ruangrit,6 repeats,6B+ (User grade 6B+),Feet follow hands,,
20565,WINAIO1,Ruangrit,Be the first to repeat this problem,6B+,Feet follow hands,,
20566,WINAIO2,Ruangrit,3 repeats,6C+,Feet follow hands,eee,
20567,RIDE THE LIGHTNING,Kyle Knapp,194 repeats,6B+ (User grade 6B+),Feet follow hands,eee,
20568,LESS BROCOLI,smaket_hunter,3 repeats,7B,Feet follow hands,eee,
20569,4 ZAPPE,Matteo Zanon,7 repeats,6C,Feet follow hands,eee,
20570,PEQUENA CUENCITA,smaket_hunter,1 climber has repeated this problem,7c,Feet follow hands,eee,
20571,MODERATOR,juki,1 climber has repeated this problem,6B+,Feet follow hands,,
20572,MODERATOR ORIGINAL,juki,Srepeats,6B+,Feet follow hands,eee,
20573,SNEAKY PEAKY LIKE,smaket_hunter,Be the first to repeat this problem,7A,Feet follow hands,,
20574,ARSCHLECKEN,Fynn,46 repeats,6B+ (User grade 6B+),Feet follow hands,eee,
20575,PUNTERITAS,karniko,1 climber has repeated this problem,6C,Feet follow hands,,
20576,TROKITER,karniko,2 repeats,6C+,Feet follow hands,eee,
20577,THE GUN.,je123,22 repeats,6B+ (User grade 6B+),Feet follow hands,,
20578,"BOGGIS, BUNCE, AND BEAN",Pseudosimian,1 climber has repeated this problem,7A,Feet follow hands,eee,
20579,#MONO,Loki,Be the first to repeat this problem,TAt+,Feet follow hands,,
20580,SET BY MY COUSIN,Loki,Be the first to repeat this problem,6C+,Feet follow hands,,
20581,WHAT'S FOR DINNER,liz maffett,12 repeats,6C+ (User grade 6C+),Feet follow hands,eee,
20582,WAIT,fli,Srepeats,7B+,Feet follow hands,eee,
20583,PROBLEM AND DRAGONS,Ryan Arment,22 repeats,6C (User grade 6C),Feet follow hands,eee,
20584,SALAD APOCALYPSE,Ravioli Biceps,8 repeats,7B+ (User grade 7B+),Feet follow hands,eee,
20585,SOME SKILL,Ravioli Biceps,15 repeats,7C (User grade 7C),Feet follow hands,,
20586,SAINTLOKI,Loki,1 climber has repeated this problem,7B+,Feet follow hands,,
20587,JFEUHRYKLCRJBSS,Loki,Be the first to repeat this problem,TAt+,Feet follow hands,,
20588,"FIRST COME, FIRST SERVED",JLOW,3 repeats,7B+,Feet follow hands,eee,
20589,JUMP HIGH,Emma,12 repeats,6B+ (User grade 6B+),Feet follow hands,,
20590,GET UP SLOW,Emma,Srepeats,6B+,Feet follow hands,eee,
20591,HANG MONKEYS,Caleb Perry,10 repeats,7A+ (User grade 7A+),Feet follow hands,eee,
20592,PRIMO MISS,Edward Avenell,55 repeats,6B+ (User grade 6B+),Feet follow hands,,
20593,JOWIE,jowie,1 climber has repeated this problem,7B+,Feet follow hands,,
20594,LUNIK,Konrad Suter,31 repeats,6B+ (User grade 6B+),Feet follow hands,,
20595,GUSTAV,Konrad Suter,62 repeats,6B+ (User grade 6B+),Feet follow hands,,
20596,MIHO,Nolan Mac,47 repeats,7B (User grade 7B),Feet follow hands,,
20597,XIAOLONGBAO,Nolan Mac,1 climber has repeated this problem,6C+,Feet follow hands,,
20598,CRUXY,Coeus,2 repeats,7B,Feet follow hands,eee,
20599,ROUND1,megoic,14 repeats,6C (User grade 6C),Feet follow hands,,
20600,MY FIRST 0.1,Lucie,33 repeats,6B+ (User grade 6B+),Feet follow hands,,
20601,SVITOL 2.0,Ipipes,Be the first to repeat this problem,7A,Feet follow hands,,
20602,BY MOM&DAD,Lucie,10 repeats,6B+ (User grade 6B+),Feet follow hands,eee,
20603,HATESVILLE,Jacob Sundstrom,8 repeats,6C (User grade 6C),Feet follow hands,,
20604,ANTITHETICAL,Kilgour22,1 climber has repeated this problem,6C+,Feet follow hands,,
20605,ANOREKSIJA,janezkranjski,6 repeats,6B+ (User grade 6B+),Feet follow hands,,
20606,SARCOPENIJA,janezkranjski,12 repeats,6B+ (User grade 6B+),Feet follow hands,,
20607,ORTOREXIJA,janezkranjski,Be the first to repeat this problem,6B+,Feet follow hands,,
20608,#RANDOMCLIMB,Loki,Be the first to repeat this problem,7A,Feet follow hands,,
20609,BYROADZ,Eli,3 repeats,6B+,Feet follow hands,KKKKK,eee
20610,SKABLOOSHKIN,Eli,Be the first to repeat this problem,6C+,Feet follow hands,,
20611,B SLAP,Eli,2 repeats,6C+,Feet follow hands,KKKKK,eee
20612,HUNTING LODGE,John x,1 climber has repeated this problem,7A,Feet follow hands,,
20613,ALL OVER THE RAINBOW,Colton13,25 repeats,6B+ (User grade 6B+),Feet follow hands,eee,
20614,AID MONKEY,Colton13,13 repeats,6C (User grade 6C),Feet follow hands,,
20615,FALLING THE SAME WAY,John x,15 repeats,7A+ (User grade 7A+),Feet follow hands,KkKkhkk,eee
20616,BOBBY FLAY,Caleb Perry,2 repeats,7B,Feet follow hands,eee,
20617,WATCH IT,Zee,17 repeats,6C+ (User grade 6C+),Feet follow hands,,
20618,HEYGUYSWATCHTHIS,Zee,1 climber has repeated this problem,6C+,Feet follow hands,,
20619,BOOTY SMASHING,Caleb Perry,18 repeats,6B+,Feet follow hands,eee,
20620,BUM DUM,Caleb Perry,56 repeats,6C (User grade 6C),Feet follow hands,,
20621,FILIPINA LECHON,Nolan Mac,6 repeats,7B,Feet follow hands,KkKkhkk,eee
20622,BUDAE JJIGAE,Nolan Mac,Be the first to repeat this problem,7A,Feet follow hands,,
20623,ZWIRBEL,juki,7 repeats,6C (User grade 6C),Feet follow hands,,
20624,LEXOLONI,juki,9 repeats,6C+ (User grade 6C+),Feet follow hands,,
20625,KUGELFISCH KRATO,juki,3 repeats,6c,Feet follow hands,KKKKY,eee
20626,BETTINATOR,juki,4repeats,7A,Feet follow hands,eee,
20627,REVENGE OF THE FAT,juki,4repeats,7A,Feet follow hands,KKKKNY,eee
20628,GREEN FLAG,Orangutan,29 repeats,6B+ (User grade 6B+),Feet follow hands,,
20629,KWALIMA,fli,2 repeats,7B (User grade 7B),Feet follow hands,KkKkhkk,eee
20630,FLOWBEAR,sii,104 repeats,6C (User grade 6C),Feet follow hands,,
20631,PEPASFIRST,pepazbena,2 repeats,7A,Feet follow hands,eee,
20632,OHNE NAME,Johanna Weber,2 repeats,6C+,Feet follow hands,eee,
20633,MIT NAME,Johanna Weber,9 repeats,6C,Feet follow hands,eee,
20634,POGO PONG,Jaspy,1 climber has repeated this problem,7A,Feet follow hands,,
20635,GIANT CRIMP,Krista Arghittu,25 repeats,6C (User grade 6C),Feet follow hands,,
20636,MELLOWING YELLOWING,Krista Arghittu,25 repeats,6B+ (User grade 6B+),Feet follow hands,eee,
20637,ATTENZIONE 7A,Elleboro,4repeats,7A,Feet follow hands,KKKKNY,eee
20638,SEEEE,Carpo,1 climber has repeated this problem,7A,Feet follow hands,,
20639,PYGMICIRCUIT1,Basiainen,23 repeats,6B+ (User grade 6B+),Feet follow hands,,
20640,PYGMICIRCUIT2,Basiainen,60 repeats,6B+ (User grade 6B+),Feet follow hands,,
20641,DAISY DUKESS,Sunburntsulli,Be the first to repeat this problem,6C+,Feet follow hands,,
20642,“EASY PEASY”,Gianna,72 repeats,6B+ (User grade 6B+),Feet follow hands,,
20643,ENDURO1,Evan Howell,56 repeats,6B+ (User grade 6B+),Feet follow hands,,
20644,PULLEY PINCH PUNK,Jed,19 repeats,6C (User grade 6C),Feet follow hands,eee,
20645,NAMASTE NO. 1,Nathaniel Ang,3 repeats,6C+,Feet follow hands,eee,
20646,NAMASTE NO. 2,Nathaniel Ang,Be the first to repeat this problem,7A,Feet follow hands,,
20647,BEETHOVEN PIANO SONATA,Jacob Sundstrom,5 repeats,6C,Feet follow hands,KKKKNY,eee
20648,FLY LIKE A PIZZA,Solivagant,28 repeats,7A (User grade 7A),Feet follow hands,,
20649,KAMI HITOE VAR,Aliaes,28 repeats,6C (User grade 6C),Feet follow hands,eee,
20650,OISANN,Julie Slora,3 repeats,6B+,Feet follow hands,eee,
20651,MTOWN 2,obi wankenobi,Be the first to repeat this problem,6C+,Feet follow hands,,
20652,HARD FEET?,Matt Murphy,Be the first to repeat this problem,TAt+,Feet follow hands,,
20653,CRISTORANTE,Axel&Co091,103 repeats,6B+ (User grade 6B+),Feet follow hands,,
20654,SQUISITAMENTE SQUIRTING,marco.valtolina,5 repeats,TAt+,Feet follow hands,KkKkhkk,eee
20655,TJYGGG,slopez,15 repeats,6B+ (User grade 6B+),Feet follow hands,,
20656,DECISIONS ARE HARD,ulises huete,8 repeats,7B+,Feet follow hands,KkKkhkk,eee
20657,SHE'S MASHING IT,Nroberts,9 repeats,6B+ (User grade 6B+),Feet follow hands,eee,
20658,WARMISH WARMISH,Gonz,29 repeats,6B+ (User grade 6B+),Feet follow hands,eee,
20659,PROBLEM A1,9 degrees,13 repeats,6B+ (User grade 6B+),Feet follow hands,,
20660,YANG B: BEN,Yangssa,1 climber has repeated this problem,6B+,Feet follow hands,,
20661,YANG B : IN TIME,Yangssa,3 repeats,6C+,Feet follow hands,KkKkhkk,eee
20662,YANG B: N/2,Yangssa,7 repeats,6B+ (User grade 6B+),Feet follow hands,,
20663,NAMASTE NO. 3,Nathaniel Ang,Be the first to repeat this problem,6C+,Feet follow hands,,
20664,x2,Alex,1 climber has repeated this problem,7A,Feet follow hands,,
20665,A'S REAL FIRST!,Anna Pechtl,19 repeats,6B+ (User grade 6B+),Feet follow hands,,
20666,SICKLE,joenorris001,6 repeats,6C (User grade 6C),Feet follow hands,,
20667,ALAS!,Matteo Zanon,2 repeats,6C+,Feet follow hands,KkKkhkk,
20668,HARD SUNSET,lukealex,6 repeats,6C (User grade 6C),Feet follow hands,KkKkhkk,eee
20669,SWEDISH FASHION,Linni C.,3 repeats,7A,Feet follow hands,KkKkhkk,eee
20670,PRIMO DELLANNO,Matteo Zanon,2 repeats,7A,Feet follow hands,KKKKK,eee
20671,SUICIDE SHOULDER,Tim,4repeats,TAt+,Feet follow hands,KKKKNY,eee
20672,CARBONIZADO,tomy.sd,1 climber has repeated this problem,TAt+,Feet follow hands,,
20673,RISE OF THE ANCIENTS,gabriel faucher,7 repeats,7A,Feet follow hands,KKKKNY,eee
20674,MOONSHUFFLE,blaketheclimber,1 climber has repeated this problem,TAt+,Feet follow hands,,
20675,GARRETTSON,Ryan Arment,Be the first to repeat this problem,6B+,Feet follow hands,,
20676,LANZAGORTA,Motionboulder,7 repeats,6B+ (User grade 6B+),Feet follow hands,,
20677,PRECISE,nach,Be the first to repeat this problem,6B+,Feet follow hands,,
20678,SKYYWALKER,Kelvin Wong,3 repeats,7B+,Feet follow hands,KkKkhkk,eee
20679,OINGO BOINGO,Bert's Basement,29 repeats,6C (User grade 6C),Feet follow hands,,
20680,MOON KICK THE &,Ali,8 repeats,6C,Feet follow hands,KkKkhkk,eee
20681,CONVOLUTED UNDERCT,David Gibbons,Be the first to repeat this problem,6B+,Feet follow hands,,
20682,GET IN MY UNDIES,David Gibbons,Be the first to repeat this problem,6C+,Feet follow hands,,
20683,NAMASTE NO. 4,Nathaniel Ang,Be the first to repeat this problem,7A,Feet follow hands,,
20684,BIG LE MOVIES,lord jugworthy,2 repeats,6B+,Feet follow hands,,
20685,CO TOMU CHYBA,gogo,2 repeats,6B+,Feet follow hands,eee,
20686,USKO,gogo,8 repeats,6B+ (User grade 6B+),Feet follow hands,,
20687,LORDBORDSK,gogo,18 repeats,6B+ (User grade 6B+),Feet follow hands,,
20688,1985-44,Hakan Ertekin,20 repeats,6C (User grade 6C),Feet follow hands,,
20689,IRS 003,RS1976,3 repeats,6B+,Feet follow hands,KkKkhkk,eee
20690,IRS 004,RS1976,2 repeats,6B+,Feet follow hands,KkKkhkk,eee
20691,IRS 005,RS1976,12 repeats,6C (User grade 6C),Feet follow hands,,
20692,LEYRE,Ivantxapa90,4repeats,6C,Feet follow hands,,
20693,ONLY CAMPUS,daniirdgb,15 repeats,6B+ (User grade 6B+),Feet follow hands,,
20694,PINK SPIRIT,moti,1 climber has repeated this problem,7A,Feet follow hands,,
20695,FLEMMING THE BEAST,Flemming the beast,Be the first to repeat this problem,6C+,Feet follow hands,,
20696,SUPER T PT1,Ben Khounsombath,Be the first to repeat this problem,6B+,Feet follow hands,,
20697,SUPER T PT2,Ben Khounsombath,1 climber has repeated this problem,6B+,Feet follow hands,,
20698,SHOOT STYLE,Nroberts,Be the first to repeat this problem,6B+,Feet follow hands,,
20699,JELLY JELLY,Hi,7 repeats,6B+ (User grade 6B+),Feet follow hands,,
20700,DRIVER CLUB,Andrew Scott,1 climber has repeated this problem,7A,Feet follow hands,,
20701,ANDERSON PAAK,hpROUTESETTER,25 repeats,7A (User grade 7A),Feet follow hands,,
20702,STICK TO GOLF,Jacob Sundstrom,1 climber has repeated this problem,6C,Feet follow hands,,
20703,TEVE,HIROTO.,1 climber has repeated this problem,6B+,Feet follow hands,,
20704,see,HIROTO,24 repeats,6B+ (User grade 6B+),Feet follow hands,,
20705,FUNNYBONE YYAU-1,nyi2,10 repeats,6B+ (User grade 6B+),Feet follow hands,eee,
20706,FUNNYBONE YYAZU-—2,nyi2,1 climber has repeated this problem,6C,Feet follow hands,eee,
20707,FUNNYBONE YYAZU-3,nyi2,1 climber has repeated this problem,6C+,Feet follow hands,KkKkhkk,eee
20708,THE WEAKENING,Mike See,1 climber has repeated this problem,6B+,Feet follow hands,,
20709,RAYDEN,Riccardo Caprasecca,17 repeats,7A (User grade 7A),Feet follow hands,,
20710,MIlll,Riccardo Caprasecca,11 repeats,7A (User grade 7A),Feet follow hands,,
20711,PUPPORO,Riccardo Caprasecca,3 repeats,7A+ (User grade 7A+),Feet follow hands,,
20712,CANNOLO,Riccardo Caprasecca,3 repeats,7A+ (User grade 7A+),Feet follow hands,,
20713,RONCHIATOUR,Riccardo Caprasecca,13 repeats,6C+ (User grade 6C+),Feet follow hands,,
20714,PYGMICIRCUIT 3,Basiainen,15 repeats,6B+ (User grade 6B+),Feet follow hands,eee,
20715,CRISTO,tomy.sd,Be the first to repeat this problem,6C,Feet follow hands,,
20716,WE ARE BAD,Archie,9 repeats,6B+ (User grade 6B+),Feet follow hands,,
20717,ITCHYANDSCRATCHY,Christian Mahr,150 repeats,6B+ (User grade 6B+),Feet follow hands,eee,
20718,GRAVITY STINKS,Thomas,4repeats,6B+,Feet follow hands,KKKKNY,eee
20719,JUMP ROPE,Corey Zee,15 repeats,7A (User grade 7A),Feet follow hands,,
20720,EEZY UP,Elijah,28 repeats,6B+ (User grade 6B+),Feet follow hands,,
20721,PATCHWORK,gabriel faucher,1 climber has repeated this problem,6C+,Feet follow hands,,
20722,AFGHAN OR FUNKY HAM,Corey Zee,6 repeats,7A (User grade 6C+),Feet follow hands,KkKkhkk,eee
20723,2-~-2,Corey Zee,4repeats,6C+,Feet follow hands,KkKkhkk,
20724,AMONG THE FIELDS OF GREEN,gabriel faucher,Be the first to repeat this problem,6C+,Feet follow hands,eee,
20725,SUN SALUTATION,Leo,4repeats,6C,Feet follow hands,KkKkhkk,eee
20726,HAPPY BIRTHDAY TO M.E.,Micah Elconin,Be the first to repeat this problem,7A,Feet follow hands,,
20727,1985-73,Hakan Ertekin,3 repeats,6C,Feet follow hands,,
20728,#ALL THE POCKETS,Loki,1 climber has repeated this problem,TAt+,Feet follow hands,,
20729,EVEN ELAN COULD MAKE IT,Wascator,26 repeats,6B+ (User grade 6B+),Feet follow hands,eee,
20730,STRAIGHTON,Alexkerken,25 repeats,6B+ (User grade 6B+),Feet follow hands,,
20731,BILLY’S BIG HOLDS,Hart,33 repeats,6B+ (User grade 6B+),Feet follow hands,eee,
20732,DON’T PEEL(DON’T MATCH),Hunter Sharp,1 climber has repeated this problem,7C (User grade 7C),Feet follow hands,,
20733,SHOOOULDERS,Philchai,4repeats,7A,Feet follow hands,KkKkhkk,eee
20734,HATSAP,dlahoodb,6 repeats,6B+ (User grade 6B+),Feet follow hands,,
20735,CLIMBINGISHARD,HannahC.,1 climber has repeated this problem,7A,Feet follow hands,,
20736,HELPS,isasuke,1 climber has repeated this problem,6B+,Feet follow hands,,
20737,ADIOS ESPANA,locaso,Be the first to repeat this problem,7B,Feet follow hands,,
20738,INTER NAMASTE,Nathaniel Ang,5 repeats,7A,Feet follow hands,KkKkhkk,eee
20739,CRIMPZ,wge,1 climber has repeated this problem,TAt+,Feet follow hands,,
20740,BETA HUNTER,Sam nicklen,Be the first to repeat this problem,7A,Feet follow hands,,
20741,AMPEZZO,popo19,6 repeats,6B+ (User grade 6B+),Feet follow hands,,
20742,NOGHENE,popo19,7 repeats,6C (User grade 6C),Feet follow hands,KkKkhkk,
20743,JITTY JITTY BANG BANG,Connor Damato,1 climber has repeated this problem,6C+,Feet follow hands,,
20744,I VOLPI,popo19,3 repeats,6C+,Feet follow hands,eee,
20745,RYAN 2019 MARCH,ryan,Be the first to repeat this problem,6B+,Feet follow hands,,
20746,IL BANCO,andrea,18 repeats,6B+ (User grade 6B+),Feet follow hands,,
20747,GARAGE.,Hbishhh,10 repeats,6B+ (User grade 6B+),Feet follow hands,,
20748,GRRRRRRRAGE,Hbishhh,12 repeats,6B+ (User grade 6B+),Feet follow hands,eee,
20749,ALFOOO,Averau,11 repeats,7A (User grade 7A),Feet follow hands,,
20750,GO SMOL,Aliaes,5 repeats,7A,Feet follow hands,KKKKNY,eee
20751,XUPA KABRA,Otavio,2 repeats,6B+,Feet follow hands,KkKkhkk,eee
20752,MY BUMPS,Sam,10 repeats,6C,Feet follow hands,KKKKNY,eee
20753,DAYDREAMIN',Connor,10 repeats,6C+ (User grade 6C+),Feet follow hands,KkKkhkk,eee
20754,ETTA,Patrik Lundin,Be the first to repeat this problem,7A,Feet follow hands,,
20755,BEEN MADE,Connor,4repeats,6B+,Feet follow hands,KkKkhkk,eee
20756,ALLBLACKS,Connor,12 repeats,6C+ (User grade 6C+),Feet follow hands,,
20757,DRAGONBALL SUPER,simone antuzzi,1 climber has repeated this problem,TAt+,Feet follow hands,,
20758,TVAA,Patrik Lundin,2 repeats,TAt+,Feet follow hands,,
20759,MICKYD,Connor,11 repeats,6C (User grade 6C),Feet follow hands,,
20760,IKS,Connor,7 repeats,7A,Feet follow hands,eee,
20761,MATCHNGO,Connor,2 repeats,7A,Feet follow hands,KkKkhkk,eee
20762,WELSH HEAT,Sam,18 repeats,6C (User grade 6B+),Feet follow hands,,
20763,TREAN,Patrik Lundin,3 repeats,TAt+,Feet follow hands,eee,
20764,FJARDE,Patrik Lundin,1 climber has repeated this problem,7B,Feet follow hands,,
20765,MATCHING IS FORBIDDEN,Averau,5 repeats,6C+,Feet follow hands,KKKKNY,eee
20766,VRIL,Jerry Maksimov,50 repeats,6C (User grade 6C),Feet follow hands,,
20767,ANDREAS’ DYNO TRBL,Lio,1 climber has repeated this problem,6C,Feet follow hands,KkKkhkk,eee
20768,GRAB IT AGAIN!,evieshh,7 repeats,7A,Feet follow hands,KKKKNY,eee
20769,FATTY JIM'S,evieshh,1 climber has repeated this problem,6C+,Feet follow hands,,
20770,SILVESTRO,Matteo Zanon,6 repeats,6C,Feet follow hands,eee,
20771,CUEVA DEL PERRO,Matteo Zanon,2 repeats,6C,Feet follow hands,KkKkhkk,eee
20772,DAMPFER,Jaschrei,3 repeats,6B+,Feet follow hands,KkKkhkk,eee
20773,POP DAT KNEE,Lio,2 repeats,TAt+,Feet follow hands,KkKkhkk,eee
20774,JAH CHATTY CLEAN,David Quinn,2 repeats,7A (User grade 7A),Feet follow hands,KkKkhkk,eee
20775,PISS TEST,Corey Zee,3 repeats,6C+,Feet follow hands,eee,
20776,NOT IN THE BOOKS YET,Corey Zee,11 repeats,6C+ (User grade 6C+),Feet follow hands,eee,
20777,GOTTA POO,Corey Zee,3 repeats,7A,Feet follow hands,KkKkhkk,eee
20778,SHADE THROWN,Corey Zee,2 repeats,6B+,Feet follow hands,eee,
20779,SHADE GROWN,Corey Zee,9 repeats,7A,Feet follow hands,KKKKNY,eee
20780,GO AWAY,Corey Zee,8 repeats,7A,Feet follow hands,eee,
20781,HOCUS POCUS VARIATION,SeanNelson,12 repeats,6C+ (User grade 6C+),Feet follow hands,eee,
20782,CHUBB CALLER,Pfs,17 repeats,6B+ (User grade 6B+),Feet follow hands,eee,
20783,LION AND OWL,Micah Elconin,3 repeats,6B+,Feet follow hands,KkKkhkk,eee
20784,EZEEEE,Pfs,17 repeats,6B+ (User grade 6B+),Feet follow hands,,
20785,GEORGE AND VIOLETS,Micah Elconin,33 repeats,6B+ (User grade 6B+),Feet follow hands,,
20786,MUCKMEHARDER,Pfs,15 repeats,6B+ (User grade 6B+),Feet follow hands,eee,
20787,FALLING SKY,Micah Elconin,7 repeats,6B+,Feet follow hands,eee,
20788,CARBONIZADO OK,tomy.sd,2 repeats,TAt+,Feet follow hands,KkKkhkk,eee
20789,SUMMIT GIRLS,lan Kosten,3 repeats,6B+,Feet follow hands,eee,
20790,BLACK LAMP,Aliaes,3 repeats,6C+,Feet follow hands,KkKkhkk,eee
20791,PATRULLA AGUILA,quiquekite,13 repeats,6B+ (User grade 6B+),Feet follow hands,,
20792,VIOLENT PONOGRAPHY,Pufa91,Be the first to repeat this problem,TAt+,Feet follow hands,,
20793,STEINZEIT EASY 1,Steinzeit,12 repeats,6B+ (User grade 6B+),Feet follow hands,,
20794,STEINZEIT EASY 2,Steinzeit,27 repeats,6B+ (User grade 6B+),Feet follow hands,,
